Thoi_gian,Vi_do,Kinh_do,Dich_vu,Quan_Huyen,Quang_duong_km,Thoi_gian_phut
2024-01-01 18:17:47,10.810077,106.667848,GrabBike,Tân Bình,9.4,73.8
2024-01-01 18:22:30,10.768452,106.693217,GrabBike,Quận 1,5.91,33.5
2024-01-01 18:47:41,10.791776,106.758008,BeBike,Quận 2,2.2,12.6
2024-01-01 18:55:48,10.788552,106.748866,GrabBike,Quận 2,3.18,27.7
2024-01-01 19:18:38,10.795242,106.667778,GrabBike,Tân Bình,7.03,36.1
2024-01-01 19:18:39,10.778252,106.702877,BeCar,Quận 1,3.31,18.0
2024-01-01 19:34:23,10.783379,106.692637,BeBike,Quận 1,6.48,34.4
2024-01-01 19:37:20,10.78654,106.759873,GrabBike,Quận 2,6.13,36.9
2024-01-01 19:48:15,10.774813,106.688089,BeCar,Quận 3,2.37,14.1
2024-01-01 19:52:04,10.780326,106.702294,BeCar,Quận 1,5.41,33.9
2024-01-01 20:17:59,10.771866,106.693872,GrabBike,Quận 1,3.61,16.6
2024-01-01 20:37:11,10.779328,106.693353,GrabBike,Quận 1,1.86,14.6
2024-01-01 20:46:44,10.796539,106.744776,GrabBike,Quận 2,2.57,9.6
2024-01-01 20:56:28,10.774573,106.695404,BeCar,Quận 1,4.47,39.5
2024-01-01 21:10:18,10.789056,106.685113,BeBike,Quận 3,3.24,24.8
2024-01-01 21:26:15,10.782103,106.69129,GrabBike,Quận 3,5.67,26.3
2024-01-01 21:49:23,10.78377,106.69141,GrabCar,Quận 3,3.07,17.6
2024-01-01 21:54:00,10.782659,106.755399,BeBike,Quận 2,15.13,112.3
2024-01-01 21:55:47,10.788385,106.754315,GrabBike,Quận 2,3.13,24.3
2024-01-01 22:32:51,10.787401,106.681801,BeBike,Quận 3,7.73,45.9
2024-01-01 22:53:29,10.77495,106.703068,GrabBike,Quận 1,3.32,27.2
2024-01-01 23:12:56,10.773783,106.688577,GrabBike,Quận 3,6.75,48.2
2024-01-01 23:30:54,10.797209,106.672861,GrabBike,Tân Bình,3.31,20.9
2024-01-01 23:39:26,10.776974,106.686058,Gojek,Quận 3,22.67,120.0
2024-01-01 23:43:15,10.797343,106.656737,BeCar,Tân Bình,2.55,19.6
2024-01-02 00:39:40,10.774867,106.698767,BeCar,Quận 1,3.86,22.5
2024-01-02 00:55:43,10.795001,106.672216,BeCar,Tân Bình,6.9,25.4
2024-01-02 01:01:33,10.76813,106.703926,GrabBike,Quận 1,2.39,13.3
2024-01-02 01:16:46,10.791764,106.745716,BeCar,Quận 2,8.04,63.4
2024-01-02 01:27:36,10.771541,106.700933,GrabBike,Quận 1,20.87,120.0
2024-01-02 01:33:56,10.805745,106.654106,BeBike,Tân Bình,2.45,14.4
2024-01-02 01:34:51,10.772048,106.691204,GrabCar,Quận 1,4.96,28.2
2024-01-02 01:36:33,10.773193,106.678193,GrabBike,Quận 3,4.93,25.4
2024-01-02 01:40:47,10.799409,106.666992,GrabBike,Tân Bình,2.13,21.3
2024-01-02 01:48:09,10.773376,106.696169,GrabBike,Quận 1,2.56,13.8
2024-01-02 01:54:06,10.783298,106.747264,BeBike,Quận 2,1.09,3.7
2024-01-02 02:23:48,10.801843,106.666908,GrabCar,Tân Bình,4.09,38.7
2024-01-02 02:28:07,10.785346,106.686186,BeBike,Quận 3,5.01,30.6
2024-01-02 02:32:36,10.772693,106.699155,GrabBike,Quận 1,5.26,27.8
2024-01-02 03:45:19,10.776535,106.690641,BeBike,Quận 3,7.05,39.5
2024-01-02 03:58:54,10.785795,106.684902,BeBike,Quận 3,8.82,42.5
2024-01-02 04:18:14,10.789378,106.685655,GrabBike,Quận 3,4.25,27.6
2024-01-02 04:35:03,10.801571,106.652387,GrabBike,Tân Bình,3.77,29.4
2024-01-02 04:37:01,10.781787,106.690046,BeCar,Quận 3,6.46,36.7
2024-01-02 04:42:35,10.782734,106.700882,BeBike,Quận 1,15.29,98.8
2024-01-02 04:56:35,10.774688,106.701705,GrabBike,Quận 1,1.73,10.4
2024-01-02 05:44:02,10.780956,106.697409,GrabBike,Quận 1,2.02,14.7
2024-01-02 05:45:54,10.776096,106.702251,GrabBike,Quận 1,2.28,18.0
2024-01-02 06:25:56,10.812533,106.669775,GrabBike,Tân Bình,2.17,15.9
2024-01-02 06:34:38,10.78056,106.733731,GrabBike,Quận 2,1.44,9.2
2024-01-02 06:49:17,10.782497,106.705009,GrabBike,Quận 1,4.03,26.4
2024-01-02 07:07:15,10.731664,106.722528,GrabBike,Quận 7,1.66,10.7
2024-01-02 07:07:16,10.788305,106.690762,GrabBike,Quận 3,6.32,42.3
2024-01-02 07:22:15,10.743493,106.711288,BeBike,Quận 7,9.68,61.3
2024-01-02 07:38:56,10.809606,106.652527,GrabBike,Tân Bình,2.37,9.5
2024-01-02 07:49:20,10.812879,106.653729,GrabCar,Tân Bình,3.59,24.2
2024-01-02 07:57:22,10.77926,106.700984,GrabBike,Quận 1,4.61,19.4
2024-01-02 07:57:44,10.781207,106.699928,GrabCar,Quận 1,9.87,75.9
2024-01-02 08:17:00,10.769013,106.702705,GrabBike,Quận 1,3.97,37.6
2024-01-02 08:19:41,10.802663,106.658007,GrabBike,Tân Bình,2.89,21.7
2024-01-02 08:25:39,10.784858,106.700627,Gojek,Quận 1,6.99,37.0
2024-01-02 08:27:21,10.797768,106.74579,GrabCar,Quận 2,2.63,15.0
2024-01-02 08:28:28,10.78109,106.703537,GrabBike,Quận 1,2.98,14.5
2024-01-02 08:36:09,10.796429,106.759932,GrabBike,Quận 2,5.9,35.9
2024-01-02 08:36:48,10.775816,106.702711,GrabCar,Quận 1,5.55,44.1
2024-01-02 08:47:13,10.781562,106.696769,GrabCar,Quận 1,2.5,26.9
2024-01-02 08:56:21,10.775772,106.707445,GrabBike,Quận 1,5.7,37.9
2024-01-02 09:00:34,10.772581,106.682694,GrabCar,Quận 3,2.42,19.2
2024-01-02 09:32:10,10.776266,106.690026,GrabBike,Quận 1,2.55,13.8
2024-01-02 09:41:24,10.802478,106.738587,GrabCar,Quận 2,2.71,22.8
2024-01-02 09:48:21,10.772381,106.704766,BeBike,Quận 1,4.04,20.1
2024-01-02 09:52:17,10.772726,106.701837,GrabBike,Quận 1,5.17,31.5
2024-01-02 09:53:39,10.800538,106.753774,GrabCar,Quận 2,3.5,24.2
2024-01-02 09:53:46,10.781293,106.691595,GrabBike,Quận 1,7.09,31.8
2024-01-02 10:06:12,10.722395,106.714203,GrabBike,Quận 7,4.99,37.4
2024-01-02 10:13:02,10.721078,106.720013,BeCar,Quận 7,4.93,40.9
2024-01-02 10:42:12,10.774711,106.700026,GrabBike,Quận 1,5.86,30.8
2024-01-02 10:49:15,10.773079,106.698744,GrabCar,Quận 1,8.76,56.8
2024-01-02 10:50:38,10.773691,106.693514,GrabBike,Quận 1,6.0,31.4
2024-01-02 10:57:31,10.796234,106.750203,GrabBike,Quận 2,9.05,55.8
2024-01-02 11:03:22,10.786926,106.690247,GrabCar,Quận 3,7.16,51.1
2024-01-02 11:21:59,10.809089,106.667187,GrabCar,Tân Bình,4.23,23.9
2024-01-02 12:12:14,10.781417,106.733293,BeBike,Quận 2,3.6,32.9
2024-01-02 12:15:09,10.781814,106.694193,GrabCar,Quận 1,9.16,47.5
2024-01-02 12:21:18,10.788889,106.734359,GrabCar,Quận 2,6.72,35.1
2024-01-02 12:32:42,10.798903,106.669385,BeBike,Tân Bình,3.17,18.3
2024-01-02 12:38:56,10.776713,106.684286,GrabCar,Quận 3,2.84,21.9
2024-01-02 13:14:15,10.783792,106.750338,Gojek,Quận 2,4.32,34.4
2024-01-02 13:20:45,10.809565,106.659042,GrabCar,Tân Bình,8.0,45.2
2024-01-02 13:30:24,10.781341,106.694318,GrabBike,Quận 1,2.37,20.4
2024-01-02 13:36:10,10.784454,106.68822,GrabBike,Quận 3,2.88,25.2
2024-01-02 13:57:25,10.789436,106.681253,GrabCar,Quận 3,3.92,27.6
2024-01-02 14:03:59,10.769593,106.694735,GrabBike,Quận 1,5.51,48.4
2024-01-02 14:14:46,10.723686,106.710091,GrabBike,Quận 7,0.98,9.3
2024-01-02 14:16:39,10.77368,106.697452,GrabBike,Quận 1,2.95,20.5
2024-01-02 14:17:17,10.813074,106.65489,BeCar,Tân Bình,3.26,34.0
2024-01-02 14:19:40,10.789492,106.689342,GrabBike,Quận 3,2.63,8.0
2024-01-02 14:35:25,10.782985,106.70673,GrabBike,Quận 1,5.59,43.4
2024-01-02 14:38:53,10.742597,106.728663,BeBike,Quận 7,2.01,18.2
2024-01-02 14:46:05,10.790945,106.745314,GrabBike,Quận 2,5.06,27.8
2024-01-02 15:08:46,10.788785,106.683296,BeBike,Quận 3,1.68,9.3
2024-01-02 15:29:17,10.768713,106.70373,BeBike,Quận 1,3.22,34.8
2024-01-02 15:43:00,10.777744,106.704668,GrabCar,Quận 1,2.38,8.8
2024-01-02 15:55:04,10.769284,106.701182,GrabBike,Quận 1,3.33,28.5
2024-01-02 16:05:56,10.772211,106.706259,GrabBike,Quận 1,4.54,27.5
2024-01-02 16:06:15,10.773978,106.689803,GrabBike,Quận 3,5.15,24.5
2024-01-02 16:07:34,10.722657,106.705753,BeBike,Quận 7,3.47,27.1
2024-01-02 16:12:51,10.776231,106.682663,BeCar,Quận 3,5.69,35.1
2024-01-02 16:28:13,10.795663,106.733952,BeBike,Quận 2,7.79,36.1
2024-01-02 16:42:19,10.803747,106.655107,GrabCar,Tân Bình,1.81,9.8
2024-01-02 17:02:25,10.787395,106.67863,Gojek,Quận 3,4.48,13.7
2024-01-02 17:09:38,10.788898,106.748941,BeBike,Quận 2,2.02,12.0
2024-01-02 17:13:08,10.788436,106.690152,GrabCar,Quận 3,5.19,42.3
2024-01-02 17:14:29,10.80238,106.731886,GrabBike,Quận 2,1.19,7.8
2024-01-02 17:50:53,10.782296,106.704038,GrabBike,Quận 1,1.87,13.3
2024-01-02 18:07:13,10.783341,106.695608,GrabBike,Quận 1,4.75,26.3
2024-01-02 18:29:59,10.802794,106.742079,GrabBike,Quận 2,3.82,25.6
2024-01-02 18:58:12,10.783414,106.683939,GrabBike,Quận 3,8.91,51.7
2024-01-02 19:33:57,10.790691,106.746399,BeCar,Quận 2,8.28,41.6
2024-01-02 19:39:24,10.730678,106.728782,BeBike,Quận 7,5.71,28.3
2024-01-02 19:57:33,10.778772,106.702416,GrabCar,Quận 1,6.87,47.3
2024-01-02 20:09:58,10.776159,106.691574,GrabBike,Quận 3,1.57,16.2
2024-01-02 20:24:36,10.779223,106.69355,GrabBike,Quận 1,5.6,30.2
2024-01-02 20:39:35,10.81001,106.654343,GrabBike,Tân Bình,2.56,21.8
2024-01-02 20:39:46,10.781585,106.745827,GrabCar,Quận 2,7.43,46.6
2024-01-02 20:48:17,10.77741,106.693401,GrabBike,Quận 1,2.78,20.4
2024-01-02 20:50:45,10.778271,106.691241,GrabBike,Quận 3,7.03,49.9
2024-01-02 20:54:46,10.8007,106.653889,GrabBike,Tân Bình,6.77,51.2
2024-01-02 21:32:24,10.784874,106.695441,GrabBike,Quận 1,4.7,27.3
2024-01-02 21:34:13,10.797006,106.736947,GrabBike,Quận 2,2.31,13.1
2024-01-02 21:34:34,10.806002,106.659657,GrabBike,Tân Bình,2.23,24.6
2024-01-02 21:41:26,10.748847,106.717984,BeCar,Quận 7,9.08,61.6
2024-01-02 21:55:01,10.777931,106.707006,GrabCar,Quận 1,7.62,33.5
2024-01-02 22:23:11,10.784817,106.69183,GrabCar,Quận 1,2.5,22.8
2024-01-02 22:24:31,10.787018,106.68335,GrabCar,Quận 3,2.1,13.4
2024-01-02 23:00:59,10.778112,106.696751,BeBike,Quận 1,2.86,22.4
2024-01-02 23:33:56,10.732033,106.709766,BeBike,Quận 7,15.09,104.0
2024-01-02 23:34:37,10.777737,106.699841,BeCar,Quận 1,8.45,40.6
2024-01-02 23:55:07,10.784734,106.746252,GrabBike,Quận 2,6.1,42.2
2024-01-03 00:20:01,10.789516,106.688002,BeBike,Quận 3,3.12,24.6
2024-01-03 00:29:48,10.776177,106.70649,Gojek,Quận 1,10.29,75.9
2024-01-03 00:40:11,10.77778,106.692431,GrabBike,Quận 1,4.89,24.2
2024-01-03 00:59:15,10.80595,106.654524,GrabBike,Tân Bình,1.55,11.8
2024-01-03 01:03:35,10.785815,106.69154,GrabBike,Quận 3,1.17,8.7
2024-01-03 01:04:42,10.774134,106.697829,BeBike,Quận 1,11.0,51.2
2024-01-03 01:13:36,10.732645,106.713559,GrabBike,Quận 7,2.52,21.0
2024-01-03 01:17:56,10.781501,106.701119,GrabCar,Quận 1,1.59,9.7
2024-01-03 01:34:35,10.773153,106.689743,BeCar,Quận 3,10.71,57.1
2024-01-03 01:43:02,10.775368,106.691708,GrabBike,Quận 3,11.18,88.6
2024-01-03 01:43:21,10.774403,106.701096,GrabBike,Quận 1,5.72,34.3
2024-01-03 01:48:20,10.722335,106.71534,Gojek,Quận 7,1.13,4.0
2024-01-03 01:49:00,10.78164,106.69859,BeBike,Quận 1,2.24,11.1
2024-01-03 02:01:56,10.783378,106.700352,GrabCar,Quận 1,3.21,22.2
2024-01-03 02:18:56,10.783786,106.707687,GrabBike,Quận 1,11.51,67.9
2024-01-03 02:22:40,10.804078,106.664129,BeCar,Tân Bình,6.06,31.1
2024-01-03 02:51:02,10.787029,106.681101,BeCar,Quận 3,2.52,18.1
2024-01-03 02:52:28,10.812233,106.664798,BeBike,Tân Bình,7.66,67.2
2024-01-03 03:15:14,10.780334,106.691437,GrabBike,Quận 1,3.53,23.5
2024-01-03 03:33:59,10.781025,106.695594,GrabCar,Quận 1,1.91,18.1
2024-01-03 04:04:46,10.800131,106.745275,GrabBike,Quận 2,5.89,51.6
2024-01-03 04:09:31,10.772668,106.70715,GrabBike,Quận 1,10.42,66.5
2024-01-03 04:31:13,10.799127,106.759571,BeBike,Quận 2,2.6,17.3
2024-01-03 04:51:25,10.774196,106.701686,GrabBike,Quận 1,2.94,22.6
2024-01-03 04:54:37,10.79529,106.750627,GrabBike,Quận 2,2.71,20.2
2024-01-03 05:09:47,10.768651,106.695251,GrabCar,Quận 1,3.2,22.1
2024-01-03 05:27:38,10.813187,106.660596,GrabBike,Tân Bình,4.27,27.4
2024-01-03 05:28:32,10.784331,106.693843,GrabBike,Quận 1,4.34,28.6
2024-01-03 05:33:23,10.784956,106.702556,GrabBike,Quận 1,4.58,44.2
2024-01-03 05:55:52,10.781199,106.697144,GrabCar,Quận 1,2.62,19.4
2024-01-03 06:14:06,10.783419,106.699818,GrabBike,Quận 1,7.76,60.2
2024-01-03 06:30:11,10.779576,106.691707,GrabCar,Quận 1,1.11,13.3
2024-01-03 06:46:10,10.78337,106.690307,GrabBike,Quận 3,2.4,10.5
2024-01-03 06:56:15,10.775209,106.688328,GrabBike,Quận 3,2.69,14.7
2024-01-03 07:01:50,10.780635,106.757786,BeCar,Quận 2,2.68,28.2
2024-01-03 07:17:21,10.814658,106.658855,GrabBike,Tân Bình,4.18,33.6
2024-01-03 07:25:42,10.797141,106.666464,GrabCar,Tân Bình,5.27,28.2
2024-01-03 07:36:51,10.772537,106.684755,GrabCar,Quận 3,3.18,23.8
2024-01-03 09:21:27,10.776892,106.684627,GrabBike,Quận 3,2.9,23.2
2024-01-03 09:39:40,10.772329,106.678723,GrabBike,Quận 3,2.33,14.0
2024-01-03 09:49:10,10.780399,106.748574,BeCar,Quận 2,8.73,59.6
2024-01-03 10:02:24,10.777522,106.694197,GrabCar,Quận 1,3.71,23.7
2024-01-03 10:15:20,10.778993,106.705916,GrabBike,Quận 1,2.18,10.8
2024-01-03 10:44:23,10.800546,106.6708,BeBike,Tân Bình,3.86,24.9
2024-01-03 10:50:30,10.779263,106.690609,GrabBike,Quận 1,2.56,23.2
2024-01-03 10:56:44,10.789379,106.745233,BeBike,Quận 2,3.65,30.1
2024-01-03 11:03:48,10.798292,106.738614,GrabBike,Quận 2,8.02,56.4
2024-01-03 11:06:43,10.784706,106.702322,GrabCar,Quận 1,10.87,57.4
2024-01-03 11:14:59,10.774338,106.691746,BeBike,Quận 1,4.68,34.1
2024-01-03 11:26:08,10.775265,106.684827,GrabCar,Quận 3,3.07,24.3
2024-01-03 12:03:14,10.804894,106.669193,GrabBike,Tân Bình,4.54,27.8
2024-01-03 12:10:51,10.780345,106.693623,BeBike,Quận 1,5.26,40.8
2024-01-03 12:21:54,10.806899,106.650516,BeBike,Tân Bình,3.99,28.8
2024-01-03 12:29:27,10.779174,106.688697,GrabCar,Quận 3,6.5,52.4
2024-01-03 12:29:30,10.774792,106.705041,GrabBike,Quận 1,6.9,44.9
2024-01-03 12:42:27,10.784595,106.70093,GrabBike,Quận 1,1.3,16.3
2024-01-03 12:52:42,10.783625,106.74139,GrabCar,Quận 2,6.69,28.3
2024-01-03 13:12:06,10.768161,106.700849,BeCar,Quận 1,8.46,57.0
2024-01-03 13:30:21,10.800539,106.748898,GrabCar,Quận 2,9.55,38.2
2024-01-03 13:32:32,10.78615,106.689199,BeBike,Quận 3,4.64,24.2
2024-01-03 14:24:55,10.787318,106.681733,BeBike,Quận 3,17.16,119.6
2024-01-03 14:30:49,10.801782,106.749623,GrabBike,Quận 2,3.46,27.4
2024-01-03 14:34:41,10.787243,106.759619,GrabBike,Quận 2,1.7,20.3
2024-01-03 14:36:31,10.784153,106.70034,GrabBike,Quận 1,1.82,11.0
2024-01-03 14:50:56,10.782335,106.694707,GrabCar,Quận 1,4.66,33.3
2024-01-03 15:01:24,10.790401,106.735519,GrabBike,Quận 2,6.83,50.4
2024-01-03 16:01:27,10.781362,106.684944,GrabCar,Quận 3,3.03,29.4
2024-01-03 16:03:16,10.771618,106.70211,GrabBike,Quận 1,15.12,115.3
2024-01-03 16:16:54,10.723534,106.706851,BeBike,Quận 7,2.2,8.8
2024-01-03 16:51:02,10.774543,106.697377,Gojek,Quận 1,0.54,5.1
2024-01-03 16:55:25,10.773436,106.694643,GrabBike,Quận 1,15.1,61.2
2024-01-03 16:56:22,10.773759,106.692941,GrabCar,Quận 1,2.06,16.4
2024-01-03 17:00:00,10.803069,106.672615,BeBike,Tân Bình,2.56,15.7
2024-01-03 17:14:58,10.799489,106.667111,GrabBike,Tân Bình,6.47,53.4
2024-01-03 17:47:04,10.77041,106.69637,GrabBike,Quận 1,3.84,26.2
2024-01-03 17:51:08,10.77346,106.706867,BeBike,Quận 1,4.04,18.8
2024-01-03 17:53:19,10.775276,106.702428,GrabCar,Quận 1,3.64,24.1
2024-01-03 18:12:46,10.807049,106.653526,GrabCar,Tân Bình,2.66,24.8
2024-01-03 18:20:26,10.783972,106.696226,BeCar,Quận 1,7.21,43.5
2024-01-03 18:23:37,10.721343,106.714013,Gojek,Quận 7,3.34,30.9
2024-01-03 18:33:28,10.773706,106.691669,BeCar,Quận 1,7.97,58.7
2024-01-03 18:34:07,10.738599,106.715403,GrabBike,Quận 7,4.62,25.2
2024-01-03 18:36:19,10.778695,106.690121,GrabBike,Quận 1,2.45,19.9
2024-01-03 18:39:28,10.804551,106.735115,BeBike,Quận 2,3.18,26.0
2024-01-03 18:45:46,10.779209,106.702884,GrabCar,Quận 1,4.52,32.2
2024-01-03 19:42:41,10.770917,106.692011,GrabBike,Quận 1,2.92,17.0
2024-01-03 19:44:37,10.783814,106.737405,GrabBike,Quận 2,5.82,50.3
2024-01-03 19:59:21,10.784206,106.75022,BeCar,Quận 2,5.4,30.3
2024-01-03 20:05:44,10.779575,106.685529,GrabBike,Quận 3,1.9,18.1
2024-01-03 20:08:20,10.795947,106.671531,BeCar,Tân Bình,6.23,36.4
2024-01-03 20:34:49,10.77507,106.683042,GrabCar,Quận 3,6.81,40.3
2024-01-03 21:08:44,10.781798,106.734104,BeBike,Quận 2,3.52,19.5
2024-01-03 21:28:59,10.779319,106.702467,GrabBike,Quận 1,2.36,17.4
2024-01-03 21:30:31,10.784185,106.68573,GrabCar,Quận 3,5.43,25.7
2024-01-03 21:51:32,10.789145,106.6851,BeBike,Quận 3,3.26,16.9
2024-01-03 22:17:58,10.77564,106.694456,GrabBike,Quận 1,1.52,8.3
2024-01-03 22:34:03,10.782471,106.746445,GrabCar,Quận 2,3.87,34.0
2024-01-03 23:00:58,10.773353,106.699432,GrabCar,Quận 1,6.2,37.7
2024-01-03 23:05:31,10.771504,106.705087,GrabBike,Quận 1,2.78,22.4
2024-01-03 23:29:14,10.789995,106.682514,BeCar,Quận 3,1.78,9.8
2024-01-03 23:34:41,10.811847,106.671825,BeCar,Tân Bình,3.62,31.3
2024-01-03 23:48:37,10.784933,106.696169,GrabBike,Quận 1,4.73,20.5
2024-01-04 00:03:45,10.780853,106.694119,BeCar,Quận 1,6.66,37.4
2024-01-04 00:15:02,10.738744,106.726145,BeBike,Quận 7,9.94,45.2
2024-01-04 00:15:16,10.780599,106.693729,GrabCar,Quận 1,2.63,15.8
2024-01-04 00:37:00,10.811975,106.660524,GrabBike,Tân Bình,3.8,17.2
2024-01-04 00:49:59,10.799327,106.663563,GrabBike,Tân Bình,4.48,41.8
2024-01-04 00:55:30,10.78754,106.691539,GrabCar,Quận 3,3.79,30.7
2024-01-04 01:09:29,10.742446,106.705169,GrabBike,Quận 7,1.6,9.8
2024-01-04 01:23:57,10.797694,106.651907,GrabBike,Tân Bình,3.95,33.3
2024-01-04 01:28:20,10.773822,106.683362,GrabBike,Quận 3,11.83,93.5
2024-01-04 01:33:46,10.778093,106.679592,BeBike,Quận 3,2.78,17.0
2024-01-04 01:37:13,10.812645,106.665386,GrabCar,Tân Bình,3.64,22.2
2024-01-04 01:37:19,10.786336,106.683202,Gojek,Quận 3,25.54,120.0
2024-01-04 02:28:36,10.790256,106.739529,GrabBike,Quận 2,6.95,48.3
